epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,163.391,1.17392,1.48287,1.26341,0.88965,0.80475,0.88301,0.57664,1.22012,1.10796,1.26876,0.00998611,0.0033287,0.00998611,0.0033287,0.00998611,0.0033287,0.00998611,0.0033287
2,345.247,1.36086,1.25271,1.36141,0.77174,0.64195,0.71232,0.40622,1.55038,2.86026,1.5509,0.0197882,0.00659608,0.0197882,0.00659608,0.0197882,0.00659608,0.0197882,0.00659608
3,506.872,1.59081,1.58599,1.5236,0.74764,0.59328,0.67565,0.34626,1.741,1.89648,1.73293,0.0293924,0.00979746,0.0293924,0.00979746,0.0293924,0.00979746,0.0293924,0.00979746
4,659.154,1.64914,1.6611,1.59533,0.74524,0.6883,0.73713,0.39834,1.54427,2.90831,1.58537,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,772.253,1.55488,1.4926,1.53666,0.8178,0.7248,0.80929,0.47769,1.43582,2.09115,1.50662,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,871.2,1.49413,1.37591,1.48775,0.8227,0.77115,0.83336,0.49528,1.41211,2.20882,1.48603,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,972.014,1.42677,1.28583,1.43121,0.87855,0.81344,0.88302,0.53126,1.3366,1.52033,1.39937,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1073.93,1.36893,1.1964,1.40113,0.91495,0.78273,0.87587,0.5521,1.32109,1.18388,1.39942,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1176.6,1.33342,1.17628,1.37828,0.88379,0.79309,0.88435,0.55997,1.29698,1.17092,1.36236,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1279.56,1.31122,1.10758,1.35947,0.91512,0.84952,0.913,0.58401,1.29331,1.06415,1.3847,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1381.62,1.27543,1.06379,1.33659,0.92663,0.83604,0.91707,0.60562,1.20051,0.97403,1.31571,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1482.47,1.27254,1.06712,1.33865,0.9292,0.83835,0.91576,0.60696,1.20752,1.10876,1.30649,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
